request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,input_tokens,input_audio_seconds,output_tokens,error
req_01jkhr3j34erfsxdnex97tjyp2,1738983721061,413,0,0.001952,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 19445, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr3dsgerf827rwnw4qp0bk,1738983716656,413,0,0.001962,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 19445, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr3bf5fknrrpqnttrana4m,1738983714277,413,0,0.001997,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 19445, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr3a4kfwyvjd6zb0r3d6at,1738983712915,200,0.320364,0.444809,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,2542,0,150
req_01jkhr38t6e3hbq2dv8fmmnqcd,1738983711558,413,0,0.001225,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8796, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr34h2ep6aw012g12fpvq0,1738983707170,413,0,0.004112,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8796, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr326aen3s4v5hgc1qb55y,1738983704778,413,0,0.001304,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8796, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr310bercrrz47zs1rqh2t,1738983703563,200,0.242624,0.36701,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,1730,0,150
req_01jkhr2zjrercttzh8qmk713ga,1738983702104,413,0,0.001323,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8722, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr2va5fwt9nnpt4b3keyxw,1738983697733,413,0,0.001213,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8722, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr2rzff59ra5gwkqwhhp9w,1738983695344,413,0,0.00156,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Request too large for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8722, please reduce your message size and try again. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr2mpwen1a8f930449v97v,1738983690972,429,0,0.00139,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Rate limit reached for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 1242, Requested 5534. Please try again in 7.751s. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
req_01jkhr2ge3era9wg3thr8d08rv,1738983686596,429,0,0.00103,llama3-8b-8192,key_01jkhh66cmfk7b8f3b0yjngb45,0,0,0,"{\"message\":\"Rate limit reached for model `llama3-8b-8192` in organization `org_01jjfzakt0e0fsghe20x2p7432` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 1679, Requested 5534. Please try again in 12.126999999s. Visit https://console.groq.com/docs/rate-limits for more information.\",\"type\":\"tokens\",\"code\":\"rate_limit_exceeded\"}"
